id,name,description,details
SYM-011,Return values are meaningful,"Outputs communicate useful meaning rather than ambiguous booleans, magic values, or overloaded null semantics.","Return values should encode useful outcomes and failure states clearly. They should not force callers to remember sentinel values, overloaded null meanings, or fragile positional conventions. In review, this is about how much interpretation work the reader must do before they can trust what the code is trying to accomplish. Strong signals are names, structure, and local flow that let another engineer build a correct mental model quickly. Weak signals are vague labels, mixed levels of abstraction, hidden assumptions, or a need to chase many references before the unit makes sense. The educational point is that readability is not cosmetic; it is what makes future change, debugging, and review safe. For this specific symptom, the reviewer should ask whether the change makes 'Return values are meaningful' easier to see and rely on, or whether it makes the surrounding code more ambiguous. A good detail line here should help a future reviewer explain not only what this symptom means, but also why its absence raises maintenance cost, defect risk, or review uncertainty."
SYM-012,Hidden state is avoided,"A unit does not rely on ambient mutable state, invisible caches, implicit globals, or surprising external mutation.","Hidden state creates non-local behavior and makes debugging much harder. If correctness depends on caches, globals, ambient context, or invisible mutation, the reader loses the ability to reason from the code in front of them. In review, this is about how much interpretation work the reader must do before they can trust what the code is trying to accomplish. Strong signals are names, structure, and local flow that let another engineer build a correct mental model quickly. Weak signals are vague labels, mixed levels of abstraction, hidden assumptions, or a need to chase many references before the unit makes sense. The educational point is that readability is not cosmetic; it is what makes future change, debugging, and review safe. For this specific symptom, the reviewer should ask whether the change makes 'Hidden state is avoided' easier to see and rely on, or whether it makes the surrounding code more ambiguous. A good detail line here should help a future reviewer explain not only what this symptom means, but also why its absence raises maintenance cost, defect risk, or review uncertainty."
SYM-013,Mutation has a clear owner,"When state changes, the owner, lifecycle, and allowed transitions are obvious.","Mutable state is easier to trust when ownership and lifecycle are explicit. A reviewer should be able to tell who is allowed to change it, when it changes, and what states are valid. In review, this is about how much interpretation work the reader must do before they can trust what the code is trying to accomplish. Strong signals are names, structure, and local flow that let another engineer build a correct mental model quickly. Weak signals are vague labels, mixed levels of abstraction, hidden assumptions, or a need to chase many references before the unit makes sense. The educational point is that readability is not cosmetic; it is what makes future change, debugging, and review safe. For this specific symptom, the reviewer should ask whether the change makes 'Mutation has a clear owner' easier to see and rely on, or whether it makes the surrounding code more ambiguous. A good detail line here should help a future reviewer explain not only what this symptom means, but also why its absence raises maintenance cost, defect risk, or review uncertainty."
SYM-014,Invariants are protected,The code structure makes invalid states difficult or impossible to represent or persist.,"The design should help preserve truths the domain depends on. Good code uses types, constructors, validation, and encapsulation so that invalid combinations are blocked structurally instead of being remembered socially. In review, this is about how much interpretation work the reader must do before they can trust what the code is trying to accomplish. Strong signals are names, structure, and local flow that let another engineer build a correct mental model quickly. Weak signals are vague labels, mixed levels of abstraction, hidden assumptions, or a need to chase many references before the unit makes sense. The educational point is that readability is not cosmetic; it is what makes future change, debugging, and review safe. For this specific symptom, the reviewer should ask whether the change makes 'Invariants are protected' easier to see and rely on, or whether it makes the surrounding code more ambiguous. A good detail line here should help a future reviewer explain not only what this symptom means, but also why its absence raises maintenance cost, defect risk, or review uncertainty."
SYM-015,Untrusted or invalid input is stopped at the boundary,"External input is validated, normalized, sanitized, and rejected early enough that invalid or unsafe state does not spread through the system.","Systems should become stricter as data moves inward, not looser. The safest and most maintainable pattern is to validate and normalize external input at the boundary, apply any context-appropriate sanitization before it reaches sensitive destinations, and fail explicitly when input violates assumptions or cannot be trusted. This combines correctness and security into one review lens because both are about preventing bad state from spreading.

Strong signs include explicit boundary checks, parsing and normalization near entry points, destination-aware sanitization or escaping, and failures that make invalid assumptions visible instead of silently tolerating them. Weak signs include raw external values flowing deep into business logic, sanitization deferred until late or applied inconsistently, impossible states represented as ordinary values, and quiet continuation after invalid input in the hope that later code will cope.

This symptom matters because once malformed or unsafe input leaks into the trusted core, every downstream unit has to defend itself and reviewers lose confidence in system truth. Early boundary enforcement reduces bug surface, simplifies reasoning, and lowers security risk. The code becomes easier to review because the trusted and untrusted parts of the system are separated more clearly."
SYM-016,Error semantics are intentional and consistent,"Failures are surfaced in deliberate, diagnosable, and system-consistent ways, without silent semantic drift, swallowed exceptions, or arbitrary local error styles.","Error handling is part of the contract of a system, not cleanup logic added after the happy path. Good code makes it clear what can fail, how failure is represented, what degradation is acceptable, and what must be surfaced immediately. It also uses the same broad error vocabulary and handling style across similar situations so that callers and operators do not have to relearn failure semantics for each module.

Strong signs include explicit failure modes, consistent representation of similar errors, propagation or transformation that preserves meaning, and fallback behavior that either preserves semantics or clearly signals degradation. Weak signs include catch-all blocks that erase useful information, silent fallback paths that change what the system means, modules that mix exceptions, return codes, logs, and null-like sentinels arbitrarily, and error handling that leaves the system in an unclear state.

This symptom matters because many serious defects are not caused by the initial failure but by confusion about what the failure meant. Inconsistent or hidden error semantics make systems difficult to diagnose, difficult to integrate with safely, and easy to corrupt under stress. A reviewer should be able to see not only that failures are handled, but that they are handled truthfully and in line with the rest of the system."
SYM-017,Temporal coupling is explicit,"If operations must happen in a particular order, that requirement is encoded or enforced rather than socially remembered.","Whenever order matters, the code should make that dependency obvious through the API, control structure, transaction, or invariant. Requirements that exist only in comments or team memory are fragile. In review, this is about whether the code preserves truth under bad input, surprising state, and real failure conditions rather than only under ideal conditions. Strong signals are explicit contracts, visible failure behavior, and boundaries that stop invalid or unsafe state from spreading. Weak signals are silent fallback, ambiguous error handling, implicit ordering requirements, and cleanup that only works on the happy path. The educational point is that correctness depends as much on what happens when things go wrong as on what happens when they go right. For this specific symptom, the reviewer should ask whether the change makes 'Temporal coupling is explicit' easier to see and rely on, or whether it makes the surrounding code more ambiguous. A good detail line here should help a future reviewer explain not only what this symptom means, but also why its absence raises maintenance cost, defect risk, or review uncertainty."
SYM-018,Nondeterminism is controlled,"Time, randomness, concurrency, and network variability are explicit and testable rather than leaking unpredictably into logic.","Time, randomness, scheduling, and remote behavior introduce uncertainty. Good design isolates these influences behind explicit seams so logic remains understandable, testable, and less flaky. In review, this is about whether the code preserves truth under bad input, surprising state, and real failure conditions rather than only under ideal conditions. Strong signals are explicit contracts, visible failure behavior, and boundaries that stop invalid or unsafe state from spreading. Weak signals are silent fallback, ambiguous error handling, implicit ordering requirements, and cleanup that only works on the happy path. The educational point is that correctness depends as much on what happens when things go wrong as on what happens when they go right. For this specific symptom, the reviewer should ask whether the change makes 'Nondeterminism is controlled' easier to see and rely on, or whether it makes the surrounding code more ambiguous. A good detail line here should help a future reviewer explain not only what this symptom means, but also why its absence raises maintenance cost, defect risk, or review uncertainty."
SYM-019,Resource handling is complete,"Files, sockets, locks, transactions, and other resources are acquired and released correctly on both success and failure paths.","Resource safety covers acquisition, release, cleanup, and exceptional paths. A maintainable system makes it hard to leak file handles, connections, locks, transactions, or partial work when things go wrong. In review, this is about whether the code preserves truth under bad input, surprising state, and real failure conditions rather than only under ideal conditions. Strong signals are explicit contracts, visible failure behavior, and boundaries that stop invalid or unsafe state from spreading. Weak signals are silent fallback, ambiguous error handling, implicit ordering requirements, and cleanup that only works on the happy path. The educational point is that correctness depends as much on what happens when things go wrong as on what happens when they go right. For this specific symptom, the reviewer should ask whether the change makes 'Resource handling is complete' easier to see and rely on, or whether it makes the surrounding code more ambiguous. A good detail line here should help a future reviewer explain not only what this symptom means, but also why its absence raises maintenance cost, defect risk, or review uncertainty."
SYM-020,Complexity and control flow are justified,"The solution has no more abstraction, branching, indirection, or special-case handling than the problem actually requires.","Good design resists both needless cleverness and uncontrolled branching. A solution is maintainable when its complexity is proportional to the real problem, its abstractions are earned by repeated need, and its control flow is not dominated by one-off cases or cascades of conditions. These concerns belong together because each is a different way complexity grows faster than the requirement has earned.

Strong signs include a small number of moving parts, abstractions that remove real repetition or protect stable concepts, a main path that is easy to identify, and conditional logic that is structurally contained rather than scattered. Weak signs include speculative wrappers or interfaces, ceremony added for imagined future use, proliferating edge-case branches, deeply nested logic, interacting flags, and designs where understanding behavior means reconstructing a hidden exception model.

This symptom matters because excessive complexity compounds. It raises review cost, hides defects, makes tests harder to trust, and turns later changes into archaeology. Review should ask whether the structure is carrying real domain load or whether the code has accumulated indirection and branching that mostly serves itself."
SYM-021,Duplication is intentional or absent,"Repeated logic is either eliminated or clearly justified, rather than copied accidentally across the codebase.","Duplication is costly when the same rule can drift in several places. Some repetition is acceptable if it keeps boundaries clean, but accidental duplication of knowledge is a common source of inconsistent behavior. In review, this is about whether the solution has more moving parts than the requirement has earned. Strong signals are a small number of concepts, one obvious route through the logic, and abstractions that remove repeated cost instead of adding ceremony. Weak signals are speculative generalization, many special cases, flag-driven behavior, and repeated domain rules hiding inside primitive data. The educational point is that unnecessary complexity compounds maintenance cost and makes every later bug harder to isolate. For this specific symptom, the reviewer should ask whether the change makes 'Duplication is intentional or absent' easier to see and rely on, or whether it makes the surrounding code more ambiguous. A good detail line here should help a future reviewer explain not only what this symptom means, but also why its absence raises maintenance cost, defect risk, or review uncertainty."
SYM-022,Variation is localized,"When behavior varies, the points of variation are narrow and explicit rather than smeared through conditionals everywhere.","Variation should have an intentional home, such as a strategy, configuration seam, or small decision point. When variation is spread across many branches, the code becomes difficult to extend safely. In review, this is about whether the solution has more moving parts than the requirement has earned. Strong signals are a small number of concepts, one obvious route through the logic, and abstractions that remove repeated cost instead of adding ceremony. Weak signals are speculative generalization, many special cases, flag-driven behavior, and repeated domain rules hiding inside primitive data. The educational point is that unnecessary complexity compounds maintenance cost and makes every later bug harder to isolate. For this specific symptom, the reviewer should ask whether the change makes 'Variation is localized' easier to see and rely on, or whether it makes the surrounding code more ambiguous. A good detail line here should help a future reviewer explain not only what this symptom means, but also why its absence raises maintenance cost, defect risk, or review uncertainty."
SYM-023,Boolean blindness is avoided,Flags and ambiguous booleans are not used where richer types or named concepts would express intent better.,"Boolean blindness happens when a bare true or false carries too much unstated meaning. Named concepts, enums, richer types, or separate functions often communicate intent and valid combinations better. In review, this is about whether the solution has more moving parts than the requirement has earned. Strong signals are a small number of concepts, one obvious route through the logic, and abstractions that remove repeated cost instead of adding ceremony. Weak signals are speculative generalization, many special cases, flag-driven behavior, and repeated domain rules hiding inside primitive data. The educational point is that unnecessary complexity compounds maintenance cost and makes every later bug harder to isolate. For this specific symptom, the reviewer should ask whether the change makes 'Boolean blindness is avoided' easier to see and rely on, or whether it makes the surrounding code more ambiguous. A good detail line here should help a future reviewer explain not only what this symptom means, but also why its absence raises maintenance cost, defect risk, or review uncertainty."
SYM-024,Primitive obsession is avoided,Repeated low-level primitives do not stand in for richer domain concepts that deserve first-class representation.,"Primitive obsession keeps domain meaning out of the type system and inside scattered convention. Replacing raw strings, maps, and numbers with domain types makes intent clearer and invariants easier to enforce. In review, this is about whether the solution has more moving parts than the requirement has earned. Strong signals are a small number of concepts, one obvious route through the logic, and abstractions that remove repeated cost instead of adding ceremony. Weak signals are speculative generalization, many special cases, flag-driven behavior, and repeated domain rules hiding inside primitive data. The educational point is that unnecessary complexity compounds maintenance cost and makes every later bug harder to isolate. For this specific symptom, the reviewer should ask whether the change makes 'Primitive obsession is avoided' easier to see and rely on, or whether it makes the surrounding code more ambiguous. A good detail line here should help a future reviewer explain not only what this symptom means, but also why its absence raises maintenance cost, defect risk, or review uncertainty."
SYM-025,Data shape matches behavior,Data structures reflect access patterns and invariants instead of being generic containers that invite misuse.,"Data structures should fit the questions the code asks and the rules the data must obey. Poorly chosen shapes force callers to remember layout conventions or bolt rule checks on later. In review, this is about whether the solution has more moving parts than the requirement has earned. Strong signals are a small number of concepts, one obvious route through the logic, and abstractions that remove repeated cost instead of adding ceremony. Weak signals are speculative generalization, many special cases, flag-driven behavior, and repeated domain rules hiding inside primitive data. The educational point is that unnecessary complexity compounds maintenance cost and makes every later bug harder to isolate. For this specific symptom, the reviewer should ask whether the change makes 'Data shape matches behavior' easier to see and rely on, or whether it makes the surrounding code more ambiguous. A good detail line here should help a future reviewer explain not only what this symptom means, but also why its absence raises maintenance cost, defect risk, or review uncertainty."
SYM-026,Dependencies and module interactions are explicit and well-shaped,"Collaborators, dependency direction, coupling, cohesion, and interface shape work together so modules depend on the right things, for the right reasons, through narrow and comprehensible contracts.","Maintainable modular design is not created by any one property in isolation. Explicit dependencies, sane dependency direction, low coupling, high cohesion, and narrow interfaces reinforce each other and should be reviewed as one connected lens. A change can look clean locally while still damaging maintainability if it hides collaborators, lets high-level policy depend on low-level detail, spreads a responsibility across many places, or exposes a broad interface that gives other modules too much reach.

Strong signs include collaborators that are visible in constructors, parameters, or clearly declared module boundaries; dependencies that point inward toward stable policy rather than outward toward incidental framework or storage detail; modules whose internal elements change for related reasons; and interfaces that expose only the capabilities another module actually needs. Weak signs include service locator style lookups, broad context objects passed everywhere, reach-through access into another module's internals, helpers that know too much about distant subsystems, and interfaces that exist only to mirror implementation detail.

The point of this lens is to ask whether the codebase preserves separable responsibilities. When these properties hold together, change stays local, tests are easier to write, and readers can understand why one part of the system depends on another. When they fail, modules become sticky, edits spread unpredictably, and architecture degrades into a mesh of hidden assumptions. A reviewer using this symptom should judge whether the change makes dependencies and module interactions easier to see, safer to change, and harder to misuse."
SYM-027,Shared rules have a single owner,Core rules are defined in one authoritative place rather than being re-stated in multiple modules and tests.,"A rule should have one authoritative home. If the same decision logic is reimplemented in multiple places, bugs arise when one copy changes and another does not. In review, this is about changeability at module, boundary, and architectural level rather than only about local cleanliness. Strong signals are explicit dependencies, narrow interfaces, coherent module ownership, and boundaries that reflect real responsibilities in the system. Weak signals are reach-through access, policy mixed with mechanism, accidental framework-driven structure, and changes that would force broad unrelated edits. The educational point is that design quality shows up most clearly when requirements evolve or when one part of the system fails. For this specific symptom, the reviewer should ask whether the change makes 'Shared rules have a single owner' easier to see and rely on, or whether it makes the surrounding code more ambiguous. A good detail line here should help a future reviewer explain not only what this symptom means, but also why its absence raises maintenance cost, defect risk, or review uncertainty."
SYM-028,Boundaries and layers reflect real responsibilities,"Module boundaries, layering, boundary crossings, and separation of policy from mechanism are arranged so the structure of the system matches its real responsibilities instead of incidental technical detail.","A healthy structure makes it obvious where domain policy lives, where mechanism lives, and where important boundaries are crossed. Meaningful module boundaries, consistent layering, visible boundary crossings, and clear separation of policy from mechanism belong together because they all answer the same question: does the shape of the system help a reader understand responsibility, or does it force them to reverse engineer it from mixed concerns.

Strong signs include modules centered on genuine capabilities or lifecycle concerns, layers that are used consistently across similar features, explicit transitions when code crosses persistence, network, trust, or process boundaries, and business rules that are not buried inside transport adapters, ORM models, controllers, or framework plumbing. Weak signs include folder structures that look tidy but do not protect any real responsibility, layers that are followed in some places and ignored in others, hidden boundary crossings that make latency or trust shifts easy to miss, and code where business policy is inseparable from database, web, queue, or framework mechanics.

This symptom matters because structure is how large systems remain intelligible over time. If boundaries and layers reflect real responsibilities, reviewers can predict where new behavior belongs and how changes should travel through the system. If they do not, the codebase becomes harder to navigate, abstractions become ceremonial, and correctness starts depending on tribal memory. Review this lens by asking whether the change clarifies the system's responsibilities and boundary crossings or further entangles policy with implementation detail."
SYM-029,Framework does not own the design,The architecture is not merely a mirror of the chosen framework's defaults or constraints.,"A framework should support the architecture, not define it accidentally. Good code resists letting directory shape, annotations, or framework idioms become the only organizing principle of the system. In review, this is about changeability at module, boundary, and architectural level rather than only about local cleanliness. Strong signals are explicit dependencies, narrow interfaces, coherent module ownership, and boundaries that reflect real responsibilities in the system. Weak signals are reach-through access, policy mixed with mechanism, accidental framework-driven structure, and changes that would force broad unrelated edits. The educational point is that design quality shows up most clearly when requirements evolve or when one part of the system fails. For this specific symptom, the reviewer should ask whether the change makes 'Framework does not own the design' easier to see and rely on, or whether it makes the surrounding code more ambiguous. A good detail line here should help a future reviewer explain not only what this symptom means, but also why its absence raises maintenance cost, defect risk, or review uncertainty."
SYM-030,"Configuration is explicit, externalized, and validated","Environment-dependent behavior is configured outside core logic, read in controlled places, and checked early enough that the system does not run on broken assumptions.","Configuration is maintainable when it is both separate from domain logic and disciplined in how it enters the system. Values that vary by environment, deployment, tenant, or operating mode should not be hard-coded into the implementation. At the same time, configuration should not be read casually throughout the codebase. It should enter through controlled edges, be interpreted in a small number of places, and be validated before the system starts doing meaningful work.

Strong signs include configuration defined outside source, a clear composition or startup boundary where config is loaded, explicit mapping from raw settings to typed internal concepts, and early failure when required values are missing, malformed, or contradictory. Weak signs include environment lookups scattered through business code, magic defaults that hide misconfiguration, runtime surprises caused by late config parsing, and systems that continue half-broken because critical assumptions were never checked.

This symptom matters because configuration errors often look like logic errors in production. Externalizing, centralizing, and validating config reduces environmental drift, makes deployments safer, and keeps the trusted core of the system focused on business behavior rather than process state. It also gives reviewers a clear place to inspect how operating assumptions enter the code."
SYM-031,"Correctness under concurrency, transactions, and retries is explicit","The code makes ordering, atomicity, and safe re-entry understandable so concurrency, transaction handling, and repeated execution do not create hidden correctness risks.","Some of the hardest defects come from behavior that is only wrong when timing changes, retries happen, or multiple operations interleave. Concurrency model clarity, transaction boundary clarity, and idempotence all belong to one review lens because they describe whether the system remains correct when work does not happen exactly once in a simple straight line.

Strong signs include explicit ownership of shared mutable state, clear synchronization or scheduling assumptions, well-defined transaction boundaries around integrity-sensitive work, and operations that are intentionally safe or intentionally guarded when duplicate messages, retries, or repeated calls can occur. Weak signs include hidden races, ambiguous ordering requirements, transactions that are much wider or narrower than the invariants they are meant to protect, side effects that can be repeated accidentally, and code that works only if calls happen once and in a socially remembered sequence.

This symptom matters because many systems are retrying, asynchronous, distributed, or simply used by multiple actors at once. Review should therefore ask not only whether the happy path is correct, but whether the implementation stays correct when execution overlaps, partially fails, retries, or resumes. Good code makes those assumptions inspectable. Bad code leaves them implicit and turns correctness into luck."
SYM-032,Performance and scale behavior are intentional,"Load handling, hot paths, optimization choices, and scalability are shaped deliberately so the system continues to behave predictably as demand grows without spreading complexity unnecessarily.","Performance quality is not just about making code fast. It is about knowing where speed, latency, memory, throughput, or contention actually matter and making explicit tradeoffs that preserve maintainability while meeting real constraints. Backpressure and load behavior, identifiable hot paths, explicit performance tradeoffs, and scalability all belong together because they describe whether the system has an intentional story for growth and stress.

Strong signs include identified critical paths, bounded queues or clear overload behavior, optimizations tied to real measurements or known constraints, and designs that allow traffic, data volume, or feature growth without forcing unrelated parts of the codebase to become more complex. Weak signs include speculative micro-optimizations, no visible plan for overload, slow dependencies allowed to fan out without control, and architecture that appears fine at small scale but would require broad redesign as usage grows.

The educational point is that scalable design is as much about preserving local simplicity as it is about raw capacity. Review this symptom by asking whether the change reveals where performance matters, states the tradeoffs honestly, and keeps growth from turning into systemic fragility. A weak result here means the code may work today but accumulates hidden risk under load, in large datasets, or as the system evolves."
SYM-033,Blast radius is predictable,"The likely impact of changing a rule, dependency, schema, or interface is limited and understandable.","Predictable blast radius means contributors can estimate what else may break when a rule, schema, or dependency changes. This supports safer review, testing, and rollout planning. In review, this is about changeability at module, boundary, and architectural level rather than only about local cleanliness. Strong signals are explicit dependencies, narrow interfaces, coherent module ownership, and boundaries that reflect real responsibilities in the system. Weak signals are reach-through access, policy mixed with mechanism, accidental framework-driven structure, and changes that would force broad unrelated edits. The educational point is that design quality shows up most clearly when requirements evolve or when one part of the system fails. For this specific symptom, the reviewer should ask whether the change makes 'Blast radius is predictable' easier to see and rely on, or whether it makes the surrounding code more ambiguous. A good detail line here should help a future reviewer explain not only what this symptom means, but also why its absence raises maintenance cost, defect risk, or review uncertainty."
